  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30  80 -87.5 117.81  2.32 16.5   .14 22.2 6.205E-03   4.85  15.5   2.70  17.4 2.726E-07   3.10  15.4   2.57  17.3
  30  85 -87.5 114.52  3.97 16.5   .08 22.2 2.829E-03   5.89  15.8   2.75  17.4 1.275E-07   3.54  15.4   2.74  17.3
  30  90 -87.5 118.12  6.46 16.4   .55 22.9 1.295E-03   9.17  16.1   2.61  17.4 5.633E-08   4.63  15.7   2.93  17.3
  30  95 -87.5 124.58 10.53 17.1   .65 12.4 6.213E-04  12.02  16.1   2.49  17.4 2.549E-08   7.34  15.5   2.64  18.0
  30 100 -87.5 131.99  7.25 17.9  1.04 16.6 3.100E-04  19.84  16.6   2.25  17.4 1.190E-08  15.56  16.3   1.83  12.9
  30 105 -87.5 143.19  3.44 24.6  1.51 16.6 1.647E-04  21.11  16.8   2.06  17.4 5.808E-09  22.70  16.5   2.32  16.5
  30 110 -87.5 152.10  9.51 27.0   .73 17.0 9.209E-05  19.71  17.1   1.95  17.3 3.071E-09  25.02  16.7   3.53  16.6
  30 115 -87.5 160.62 12.66 27.4   .22 18.4 5.306E-05  16.06  17.5   1.87  17.3 1.679E-09  22.40  17.1   3.96  16.9
  30 120 -87.5 170.77 12.15 27.4   .55 22.0 3.155E-05  11.75  18.3   1.77  17.2 9.358E-10  16.87  17.5   3.43  17.3
  30 125 -87.5 181.02 10.19 27.1   .55 11.2 1.938E-05   8.46  19.6   1.67  17.2 5.382E-10  11.65  18.3   2.77  17.7
  30 130 -87.5 189.99  8.38 26.6   .45 11.9 1.223E-05   7.19  21.5   1.58  17.1 3.205E-10   8.19  19.6   2.28  18.0
  30 135 -87.5 197.31  7.17 26.0   .34 12.2 7.903E-06   7.87  23.2   1.51  17.1 1.969E-10   6.81  21.3   1.95  18.2
  30 140 -87.5 203.09  6.49 25.5   .25 12.2 5.204E-06   9.59  24.3   1.44  17.0 1.241E-10   7.07  22.8   1.73  18.3
  30 145 -87.5 207.57  6.06 25.1   .13 12.6 3.481E-06  11.73  25.0   1.38  17.0 7.990E-11   8.24  23.9   1.48  18.3
  30 150 -87.5 210.78  5.73 24.9   .12 12.9 2.368E-06  11.73  25.0   1.38  17.0 5.251E-11   9.83  24.5   1.39  18.3
  30 155 -87.5 213.12  5.64 24.7   .14 13.0 1.636E-06  14.05  25.4   1.32  16.9 3.507E-11  11.22  24.9   1.37  18.1
  30 160 -87.5 214.93  5.68 24.5   .10 13.5 1.144E-06  16.49  25.8   1.25  16.9 2.372E-11  12.36  25.1   1.28  18.1
  30 165 -87.5 216.33  5.61 24.4   .03 13.6 8.086E-07  19.14  26.0   1.19  16.8 1.621E-11  13.85  25.4   1.14  17.7
  30 170 -87.5 217.23  5.60 24.4   .06 13.4 5.834E-07  19.14  26.0   1.19  16.8 1.130E-11  15.17  25.5   1.13  16.7
  30 175 -87.5 217.98  5.64 24.3   .04 14.0 4.255E-07  21.94  26.3   1.11  16.8 7.951E-12  16.13  25.6   1.11  16.9
  30 180 -87.5 218.55  5.64 24.3   .01 13.7 3.141E-07  21.94  26.3   1.11  16.8 5.658E-12  17.46  25.7   1.11  16.2
  30 185 -87.5 218.96  5.67 24.3   .03 13.9 2.367E-07  24.91  26.5   1.04  16.7 4.105E-12  18.30  25.8   1.04  16.2
  30 190 -87.5 219.32  5.69 24.3   .00 14.0 1.793E-07  28.08  26.6    .97  16.6 2.994E-12  19.52  25.9   1.18  16.1
  30 195 -87.5 219.55  5.72 24.3   .02 14.1 1.393E-07  28.08  26.6    .97  16.6 2.240E-12  20.11  25.9   1.01  16.2
  30 200 -87.5 219.78  5.74 24.3   .01 13.8 1.084E-07  31.44  26.8    .91  16.5 1.678E-12  21.35  26.0   1.23  16.1
  30 205 -87.5 219.91  5.78 24.3   .01 14.3 8.643E-08  31.44  26.8    .91  16.5 1.293E-12  21.74  26.0   1.05  16.2
  30 210 -87.5 220.05  5.80 24.3   .01 11.0 6.891E-08  31.44  26.8    .91  16.5 9.957E-13  22.84  26.1   1.22  16.2
  30 215 -87.5 220.14  5.83 24.3   .01 20.6 5.609E-08  34.81  26.9    .87  16.4 7.865E-13  23.35  26.1   1.18  16.2
  30 220 -87.5 220.21  5.86 24.3   .01 19.7 4.584E-08  34.81  26.9    .87  16.4 6.243E-13  23.65  26.1   1.12  16.5
  30 225 -87.5 220.28  5.88 24.3   .01 20.5 3.777E-08  37.90  27.0    .90  16.2 5.009E-13  24.75  26.2   1.32  16.2
  30 230 -87.5 220.31  5.90 24.3   .02 20.4 3.159E-08  37.90  27.0    .90  16.2 4.099E-13  24.69  26.2   1.37  16.3
  30 235 -87.5 220.35  5.93 24.3   .02 20.5 2.641E-08  37.90  27.0    .90  16.2 3.354E-13  25.23  26.2   1.32  16.4
  30 240 -87.5 220.36  5.93 24.3   .02 20.5 2.233E-08  37.90  27.0    .90  16.2 2.782E-13  25.23  26.2   1.32  16.4
  30  80 -82.5 121.28  4.32 16.8   .11 22.2 7.062E-03   5.67  14.8   2.30  17.4 3.020E-07   3.88  14.4   2.15  17.3
  30  85 -82.5 118.37  6.83 16.8   .25 22.2 3.301E-03   8.86  15.5   2.38  17.4 1.445E-07   5.00  14.4   2.21  17.3
