  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30  80 -87.5 110.53   .70 18.0   .22 11.1 5.770E-03   4.97  14.4   2.33  13.9 2.703E-07   4.48  13.4   2.25  13.9
  30  85 -87.5 105.43  2.31 18.0   .10 11.1 2.485E-03   5.24  14.5   2.40  13.9 1.215E-07   4.50  13.4   2.46  13.9
  30  90 -87.5 109.71  6.86 17.9   .31 22.6 1.066E-03   6.51  15.5   2.33  13.9 4.984E-08   4.13  12.9   2.64  14.0
  30  95 -87.5 117.90 13.90 17.9   .42 22.1 4.868E-04  13.10  16.7   2.09  13.9 2.112E-08   4.62  14.0   2.53  13.3
  30 100 -87.5 128.33 10.74 17.7  1.67 18.1 2.345E-04  19.34  17.1   2.01  13.9 9.258E-09  15.95  16.9   3.40  12.4
  30 105 -87.5 149.94  1.99 26.6  2.08 17.2 1.226E-04  23.80  17.2   1.77  13.9 4.071E-09  27.55  17.0   2.02  13.6
  30 110 -87.5 170.18  8.68 27.9   .98 16.8 7.100E-05  22.49  17.3   1.39  13.8 2.065E-09  30.13  17.0   2.48  16.5
  30 115 -87.5 184.60 11.40 27.8   .31 17.1 4.334E-05  18.94  17.6   1.30  13.8 1.158E-09  28.21  17.1   2.70  16.5
  30 120 -87.5 196.45 11.10 27.7   .32 21.2 2.737E-05  18.94  17.6   1.30  13.8 6.838E-10  24.45  17.2   2.29  16.4
  30 125 -87.5 206.56  9.04 27.6   .34 21.7 1.785E-05  15.05  17.9   1.22  13.9 4.195E-10  20.36  17.5   1.72  16.4
  30 130 -87.5 214.98  6.34 27.1   .31 22.0 1.191E-05  11.84  18.5   1.16  13.9 2.652E-10  16.60  17.7   1.34  16.3
  30 135 -87.5 221.89  3.99 26.1   .21 22.3 8.098E-06   9.42  19.3   1.10  14.0 1.717E-10  13.60  18.1   1.08  16.3
  30 140 -87.5 227.51  2.53 24.0   .11 22.3 5.596E-06   7.83  20.3   1.05  14.0 1.134E-10  11.40  18.5    .89  16.1
  30 145 -87.5 231.73  2.23 21.2   .07 22.1 3.937E-06   7.83  20.3   1.05  14.0 7.644E-11  10.10  19.0    .87  15.9
  30 150 -87.5 234.89  3.06 19.5   .04 22.4 2.815E-06   7.05  21.6    .99  14.1 5.243E-11   8.81  19.4    .83  15.7
  30 155 -87.5 237.46  3.97 18.7   .05 11.4 2.033E-06   7.25  23.1    .93  14.1 3.634E-11   7.81  19.9    .79  15.4
  30 160 -87.5 239.24  4.70 18.2   .08 13.7 1.491E-06   7.25  23.1    .93  14.1 2.557E-11   7.35  20.7    .79  15.1
  30 165 -87.5 240.60  5.32 18.0   .08 14.9 1.109E-06   8.61  24.4    .87  14.0 1.822E-11   6.79  21.3    .73  14.6
  30 170 -87.5 241.72  5.84 17.8   .09 14.9 8.317E-07   8.61  24.4    .87  14.0 1.307E-11   6.78  22.2    .83  14.1
  30 175 -87.5 242.47  6.22 17.7   .10 15.1 6.367E-07  11.10  25.4    .79  13.9 9.565E-12   6.93  23.1    .64  13.3
  30 180 -87.5 243.17  6.54 17.6   .08 15.1 4.888E-07  14.60  26.1    .72  13.6 7.014E-12   7.56  23.9    .83  11.9
